term_str,x,y,term_rank,n,p,i,n_chars,max_pos_group,max_pos,n_pos_group,n_pos,stop,porter_stem,df,idf,dfidf
whispers,20.47957,11.781132,625,107,0.0001363361258879368,12.840544486271673,8,NN,NNS,2,3,0,whisper,107,9.12901814541146,976.8049415590261
sees,24.789558,3.7103553,626,107,0.0001363361258879368,12.840544486271673,4,VB,VBZ,2,3,0,see,104,9.170045413671513,953.6847230218374
rest,11.855145,-19.586887,627,107,0.0001363361258879368,12.840544486271673,4,NN,NN,3,4,0,rest,104,9.170045413671513,953.6847230218374
stand,-23.906897,22.68373,628,107,0.0001363361258879368,12.840544486271673,5,VB,VB,3,5,0,stand,96,9.28552263109145,891.4101725847792
works,-16.99178,-1.1480742,629,107,0.0001363361258879368,12.840544486271673,5,VB,VBZ,2,4,0,work,105,9.156239614146482,961.4051594853806
idiot,1.0833567,-4.877543,630,107,0.0001363361258879368,12.840544486271673,5,NN,NN,5,7,0,idiot,95,9.300629523481657,883.5598047307574
luck,16.401508,20.992064,631,106,0.00013506195648711498,12.85409101810962,4,NN,NN,3,7,0,luck,100,9.22662894203788,922.662894203788
chuckles,18.881308,12.685708,632,106,0.00013506195648711498,12.85409101810962,8,NN,NNS,2,3,0,chuckl,106,9.142564677249407,969.1118557884371
fact,-2.7327337,-12.443747,633,106,0.00013506195648711498,12.85409101810962,4,NN,NN,1,2,0,fact,103,9.183984604629387,945.9504142768269
anyway,4.5693903,13.4107065,634,106,0.00013506195648711498,12.85409101810962,6,RB,RB,3,4,0,anyway,106,9.142564677249407,969.1118557884371
pulls,24.970402,-4.3825936,635,106,0.00013506195648711498,12.85409101810962,5,VB,VBZ,2,3,0,pull,104,9.170045413671513,953.6847230218374
month,-1.9652393,-28.759674,636,105,0.00013378778708629313,12.867765955006698,5,NN,NN,1,2,0,month,95,9.300629523481657,883.5598047307574
ladies,17.882154,-2.5762093,637,104,0.00013251361768547128,12.881571754531729,6,NN,NNS,3,4,0,ladi,100,9.22662894203788,922.662894203788
write,-26.86394,20.393606,638,104,0.00013251361768547128,12.881571754531729,5,VB,VB,3,5,0,write,99,9.241128511732995,914.8717226615665
fired,-3.3141267,9.083893,639,104,0.00013251361768547128,12.881571754531729,5,VB,VBN,2,3,0,fire,100,9.22662894203788,922.662894203788
assistant,10.800865,-27.552572,640,104,0.00013251361768547128,12.881571754531729,9,NN,NN,3,4,0,assist,95,9.300629523481657,883.5598047307574
holding,21.717058,-2.497702,641,104,0.00013251361768547128,12.881571754531729,7,VB,VBG,2,2,0,hold,104,9.170045413671513,953.6847230218374
book,2.94881,-9.9503975,642,104,0.00013251361768547128,12.881571754531729,4,NN,NN,1,2,0,book,92,9.346923175755592,859.9169321695144
seat,11.771082,-9.324397,643,104,0.00013251361768547128,12.881571754531729,4,NN,NN,2,3,0,seat,104,9.170045413671513,953.6847230218374
die,-19.719997,11.892171,644,103,0.00013123944828464945,12.895510945489601,3,VB,VB,4,7,0,die,93,9.331326320704575,867.8133478255254
ugh,14.783434,12.811522,645,103,0.00013123944828464945,12.895510945489601,3,NN,NN,3,4,0,ugh,103,9.183984604629387,945.9504142768269
sick,-1.78866,6.7971888,646,103,0.00013123944828464945,12.895510945489601,4,JJ,JJ,4,6,0,sick,94,9.315896280134968,875.694250332687
dating,-4.4019213,8.299524,647,103,0.00013123944828464945,12.895510945489601,6,VB,VBG,3,4,0,date,100,9.22662894203788,922.662894203788
full,4.4860578,-23.816742,648,103,0.00013123944828464945,12.895510945489601,4,JJ,JJ,2,3,0,full,99,9.241128511732995,914.8717226615665
mouth,20.791798,-15.954824,649,103,0.00013123944828464945,12.895510945489601,5,NN,NN,5,5,0,mouth,100,9.22662894203788,922.662894203788
kiss,11.744923,5.058384,650,102,0.0001299652788838276,12.909586130701324,4,VB,VB,3,6,0,kiss,97,9.270572289625477,899.2455120936713
bet,-23.678436,3.8766115,651,101,0.00012869110948300576,12.923799989921026,3,VB,VBP,4,7,0,bet,98,9.255775287697398,907.065978194345
send,-27.839472,19.124718,652,101,0.00012869110948300576,12.923799989921026,4,VB,VB,3,5,0,send,96,9.28552263109145,891.4101725847792
married,-2.7441745,7.2921767,653,101,0.00012869110948300576,12.923799989921026,7,VB,VBN,2,3,0,marri,97,9.270572289625477,899.2455120936713
bob,12.926627,8.912087,654,101,0.00012869110948300576,12.923799989921026,3,NN,NNP,3,4,0,bob,94,9.315896280134968,875.694250332687
hundred,-1.1807573,-30.78993,655,100,0.00012741694008218393,12.938155282898096,7,CD,CD,4,5,0,hundr,94,9.315896280134968,875.694250332687
body,16.690529,-17.83303,656,100,0.00012741694008218393,12.938155282898096,4,NN,NN,1,1,0,bodi,92,9.346923175755592,859.9169321695144
met,-24.8596,-4.9125357,657,100,0.00012741694008218393,12.938155282898096,3,VB,VBD,2,5,0,met,99,9.241128511732995,914.8717226615665
red,9.779098,-12.109007,658,99,0.00012614277068136208,12.952654852593211,3,JJ,JJ,3,5,0,red,89,9.394751700846207,836.1329013753125
surprise,-6.883653,-3.4386666,659,99,0.00012614277068136208,12.952654852593211,8,NN,NN,3,5,0,surpris,94,9.315896280134968,875.694250332687
pizza,0.5016846,-14.369947,660,99,0.00012614277068136208,12.952654852593211,5,NN,NN,3,5,0,pizza,76,9.62255761836902,731.3143789960455
favorite,18.37223,-23.016258,661,98,0.00012486860128054023,12.967301628557612,8,JJ,JJ,3,4,0,favorit,93,9.331326320704575,867.8133478255254
song,3.9438214,-7.082698,662,98,0.00012486860128054023,12.967301628557612,4,NN,NN,3,5,0,song,92,9.346923175755592,859.9169321695144
kill,-24.643227,16.55888,663,97,0.0001235944318797184,12.982098630485693,4,VB,VB,2,4,0,kill,83,9.49544570046568,788.1219931386514
learn,-27.578594,13.063753,664,97,0.0001235944318797184,12.982098630485693,5,VB,VB,3,7,0,learn,90,9.37863203548293,844.0768831934637
cute,-4.1383686,0.26771078,665,97,0.0001235944318797184,12.982098630485693,4,JJ,JJ,3,5,0,cute,92,9.346923175755592,859.9169321695144
floor,17.521078,-7.9842763,666,97,0.0001235944318797184,12.982098630485693,5,NN,NN,1,2,0,floor,96,9.28552263109145,891.4101725847792
seem,-19.24278,4.600416,667,96,0.00012232026247889656,12.997048971951664,4,VB,VB,1,2,0,seem,94,9.315896280134968,875.694250332687
client,3.7992437,-18.101454,668,96,0.00012232026247889656,12.997048971951664,6,NN,NN,1,1,0,client,86,9.444220377110508,812.2029524315037
dinner,8.349245,-5.0867434,669,96,0.00012232026247889656,12.997048971951664,6,NN,NN,2,5,0,dinner,95,9.300629523481657,883.5598047307574
music,10.753658,-7.0212173,670,96,0.00012232026247889656,12.997048971951664,5,NN,NN,2,3,0,music,92,9.346923175755592,859.9169321695144
dad,21.673159,-20.952595,671,96,0.00012232026247889656,12.997048971951664,3,NN,NN,4,7,0,dad,85,9.461094195674903,804.1930066323667
regional,10.871869,-27.71033,672,96,0.00012232026247889656,12.997048971951664,8,JJ,JJ,2,2,0,region,92,9.346923175755592,859.9169321695144
shot,9.618018,-8.721298,673,95,0.00012104609307807473,13.012155864341873,4,NN,NN,3,7,0,shot,93,9.331326320704575,867.8133478255254
machine,14.972001,-9.412473,674,95,0.00012104609307807473,13.012155864341873,7,NN,NN,1,2,0,machin,92,9.346923175755592,859.9169321695144
interesting,-8.676348,-3.001763,675,95,0.00012104609307807473,13.012155864341873,11,JJ,JJ,3,4,0,interest,94,9.315896280134968,875.694250332687
brought,-22.780258,-4.259294,676,95,0.00012104609307807473,13.012155864341873,7,VB,VBD,2,4,0,brought,91,9.36269049161391,852.0048347368657
against,11.271114,-3.7779982,677,95,0.00012104609307807473,13.012155864341873,7,IN,IN,2,2,1,against,92,9.346923175755592,859.9169321695144
seven,-0.47360024,-30.667194,678,94,0.00011977192367725289,13.027422620995182,5,CD,CD,4,5,0,seven,88,9.411053513175307,828.1727091594271
secret,-0.13704567,-10.697298,679,94,0.00011977192367725289,13.027422620995182,6,JJ,JJ,2,3,0,secret,87,9.427541635963877,820.1961223288573
relationship,3.3125844,-19.997768,680,94,0.00011977192367725289,13.027422620995182,12,NN,NN,1,1,0,relationship,88,9.411053513175307,828.1727091594271
lady,16.59406,-15.847182,681,94,0.00011977192367725289,13.027422620995182,4,NN,NN,3,4,0,ladi,91,9.36269049161391,852.0048347368657
weekend,-4.657527,-15.291585,682,93,0.00011849775427643106,13.042852661564789,7,NN,NN,2,3,0,weekend,87,9.427541635963877,820.1961223288573
alone,6.49504,1.2538453,683,93,0.00011849775427643106,13.042852661564789,5,RB,RB,5,7,0,alon,92,9.346923175755592,859.9169321695144
fair,-9.978209,2.9192796,684,93,0.00011849775427643106,13.042852661564789,4,JJ,JJ,3,6,0,fair,87,9.427541635963877,820.1961223288573
weeks,-1.9775052,-30.920826,685,93,0.00011849775427643106,13.042852661564789,5,NN,NNS,1,2,0,week,88,9.411053513175307,828.1727091594271
bernard,20.530909,4.8348775,686,93,0.00011849775427643106,13.042852661564789,7,NN,NNP,1,1,0,bernard,91,9.36269049161391,852.0048347368657
girls,-2.2795365,-23.485312,687,93,0.00011849775427643106,13.042852661564789,5,NN,NNS,2,6,0,girl,85,9.461094195674903,804.1930066323667
soon,-9.595536,-5.9265056,688,93,0.00011849775427643106,13.042852661564789,4,RB,RB,2,2,0,soon,91,9.36269049161391,852.0048347368657
asking,-3.8204782,10.361071,689,92,0.0001172235848756092,13.058449516615807,6,VB,VBG,2,3,0,ask,91,9.36269049161391,852.0048347368657
smart,-6.082363,-0.32087013,690,92,0.0001172235848756092,13.058449516615807,5,JJ,JJ,3,5,0,smart,81,9.530635128927981,771.9814454431665
opens,26.028708,1.6534858,691,92,0.0001172235848756092,13.058449516615807,5,VB,VBZ,2,3,0,open,92,9.346923175755592,859.9169321695144
umm,14.574492,13.682095,692,92,0.0001172235848756092,13.058449516615807,3,NN,NN,3,4,0,umm,90,9.37863203548293,844.0768831934637
tuna,15.989818,10.385594,693,91,0.00011594941547478737,13.074216832474123,4,NN,NNP,3,5,0,tuna,75,9.641666441316724,723.1249830987543
worst,-8.926248,-19.210678,694,91,0.00011594941547478737,13.074216832474123,5,JJ,JJS,3,4,0,worst,85,9.461094195674903,804.1930066323667
ow,22.272161,7.996077,695,91,0.00011594941547478737,13.074216832474123,2,NN,NN,2,3,0,ow,69,9.761960675034437,673.5752865773762
mike,13.3344555,12.497399,696,91,0.00011594941547478737,13.074216832474123,4,NN,NNP,3,5,0,mike,89,9.394751700846207,836.1329013753125
thinks,-17.796936,-2.7075253,697,91,0.00011594941547478737,13.074216832474123,6,VB,VBZ,2,2,0,think,87,9.427541635963877,820.1961223288573
crying,13.724061,12.130008,698,90,0.00011467524607396553,13.090158376343146,6,VB,VBG,2,3,0,cri,88,9.411053513175307,828.1727091594271
sabre,8.21695,-16.420055,699,90,0.00011467524607396553,13.090158376343146,5,NN,NNP,1,2,0,sabr,77,9.603698591117704,739.4847915160632
chance,0.5669552,-12.515801,700,90,0.00011467524607396553,13.090158376343146,6,NN,NN,1,1,0,chanc,87,9.427541635963877,820.1961223288573
shh,17.935068,13.331386,701,90,0.00011467524607396553,13.090158376343146,3,NN,NN,3,4,0,shh,74,9.661031766183656,714.9163506975906
sweet,-3.7454007,-0.36200702,702,90,0.00011467524607396553,13.090158376343146,5,JJ,JJ,3,6,0,sweet,87,9.427541635963877,820.1961223288573
deangelo,18.43934,4.2916355,703,90,0.00011467524607396553,13.090158376343146,8,NN,NNP,2,2,0,deangelo,79,9.566704383635502,755.7696463072047
decided,-26.647007,-1.8532333,704,90,0.00011467524607396553,13.090158376343146,7,VB,VBD,1,2,0,decid,86,9.444220377110508,812.2029524315037
lose,-25.467358,15.346972,705,89,0.0001134010766731437,13.106278041706423,4,VB,VB,2,3,0,lose,86,9.444220377110508,812.2029524315037
along,7.6705027,0.63796854,706,89,0.0001134010766731437,13.106278041706423,5,IN,IN,3,3,0,along,86,9.444220377110508,812.2029524315037
ice,6.71751,-12.066822,707,89,0.0001134010766731437,13.106278041706423,3,NN,NN,2,3,0,ice,76,9.62255761836902,731.3143789960455
eating,3.372827,-2.2336733,708,89,0.0001134010766731437,13.106278041706423,6,VB,VBG,2,2,0,eat,88,9.411053513175307,828.1727091594271
cold,-0.28340966,0.027139015,709,89,0.0001134010766731437,13.106278041706423,4,JJ,JJ,3,6,0,cold,80,9.548557036925244,763.8845629540195
white,-1.577986,-16.771147,710,89,0.0001134010766731437,13.106278041706423,5,JJ,JJ,2,2,0,white,81,9.530635128927981,771.9814454431665
giving,7.944578,-1.4396526,711,88,0.00011212690727232185,13.122579854035523,6,VB,VBG,1,1,0,give,84,9.478167709033846,796.1660875588431
dude,15.35657,12.612359,712,88,0.00011212690727232185,13.122579854035523,4,NN,NN,3,5,0,dude,87,9.427541635963877,820.1961223288573
spend,-10.2036915,-23.116205,713,88,0.00011212690727232185,13.122579854035523,5,VB,VB,3,4,0,spend,88,9.411053513175307,828.1727091594271
jo,13.541201,7.810886,714,88,0.00011212690727232185,13.122579854035523,2,NN,NNP,3,4,0,jo,83,9.49544570046568,788.1219931386514
store,9.275254,-15.957933,715,88,0.00011212690727232185,13.122579854035523,5,NN,NN,3,4,0,store,85,9.461094195674903,804.1930066323667
trip,4.4752274,-10.458096,716,87,0.00011085273787150001,13.139067976824093,4,NN,NN,1,2,0,trip,85,9.461094195674903,804.1930066323667
cat,1.3131714,-9.494866,717,87,0.00011085273787150001,13.139067976824093,3,NN,NN,3,4,0,cat,78,9.585082912950357,747.6364672101279
mother,19.36906,-21.672424,718,87,0.00011085273787150001,13.139067976824093,6,NN,NN,2,3,0,mother,81,9.530635128927981,771.9814454431665
hurt,-21.34438,12.092247,719,87,0.00011085273787150001,13.139067976824093,4,VB,VB,3,9,0,hurt,79,9.566704383635502,755.7696463072047
mose,15.475224,7.4907384,720,87,0.00011085273787150001,13.139067976824093,4,NN,NNP,3,4,0,mose,70,9.741202114867638,681.8841480407347
bunch,3.4431086,-25.913595,721,87,0.00011085273787150001,13.139067976824093,5,NN,NN,1,1,0,bunch,84,9.478167709033846,796.1660875588431
email,2.898382,-11.265155,722,87,0.00011085273787150001,13.139067976824093,5,NN,NN,3,6,0,email,83,9.49544570046568,788.1219931386514
figure,-27.279125,21.876568,723,86,0.00010957856847067818,13.155746717970722,6,VB,VB,2,3,0,figur,84,9.478167709033846,796.1660875588431
feeling,-8.739406,0.1037097,724,86,0.00010957856847067818,13.155746717970722,7,NN,NN,4,5,0,feel,84,9.478167709033846,796.1660875588431
blah,22.04198,5.362428,725,86,0.00010957856847067818,13.155746717970722,4,NN,NN,5,7,0,blah,25,11.22662894203788,280.665723550947
ideas,-5.5108647,-17.718855,726,86,0.00010957856847067818,13.155746717970722,5,NN,NNS,1,1,0,idea,79,9.566704383635502,755.7696463072047
goodbye,14.9286375,11.190937,727,86,0.00010957856847067818,13.155746717970722,7,NN,NN,4,7,0,goodby,78,9.585082912950357,747.6364672101279
questions,-4.975073,-19.873106,728,86,0.00010957856847067818,13.155746717970722,9,NN,NNS,1,1,0,question,84,9.478167709033846,796.1660875588431
air,15.608773,-10.422091,729,86,0.00010957856847067818,13.155746717970722,3,NN,NN,2,4,0,air,80,9.548557036925244,763.8845629540195
moment,1.5307432,-12.783195,730,86,0.00010957856847067818,13.155746717970722,6,NN,NN,1,1,0,moment,86,9.444220377110508,812.2029524315037
