season,episode,scene,sentiment
2,3,2,0.06709322038121679
2,3,4,-0.058749669875633265
2,3,5,0.3239667719328299
2,3,6,0.9422867266806753
2,3,7,-0.011536303493553508
2,3,8,-0.27656224205303054
2,3,9,0.577246684731229
2,3,10,0.06387435050667022
2,3,11,2.1466705268707345
2,3,12,0.5894820399748836
2,3,14,-0.03335808880560075
2,3,15,0.1991354698871463
2,3,16,0.7711521559851168
2,3,18,-0.4897178002402011
2,3,19,0.17086979817363815
2,3,20,0.4298290116722903
2,3,22,-0.2972512480342257
2,3,23,-0.7325909041585359
2,3,26,0.00763390707999255
2,3,28,-0.6477943609814725
2,3,29,0.18302836384309243
2,3,30,-0.429282744414114
2,3,31,0.38068497057801
2,3,32,1.9747450340654487
2,3,34,0.32120897476376375
2,3,36,-1.4308471521583928
2,3,37,0.7058879524412983
2,3,38,0.9182689861886241
2,3,39,0.14506943033087588
2,3,40,1.5685696296156555
2,3,41,0.36376380027231686
2,3,42,1.0038237362906346
2,3,46,0.22015012345482882
2,3,49,1.3269630863532818
2,3,50,0.763110915445917
2,3,51,-0.23602658779412455
2,3,53,0.0034486529926906298
2,3,54,0.06590829024509684
2,3,55,0.44680320220765746
2,3,56,-0.25107644336640755
2,3,57,-0.11158475823710168
2,3,59,0.6042089688852587
2,3,60,-0.5821410760830162
2,3,62,0.18790469637478968
2,3,63,-0.256394382192435
2,3,64,-0.01601738976672995
2,3,65,-0.42925414564751785
2,4,2,-0.1637463011217569
2,4,4,0.5616841016868477
2,4,6,-0.13447659823557567
2,4,8,0.0
2,4,10,-0.7641669412753355
2,4,11,0.20198056485084326
2,4,12,-2.4157428667364393
2,4,13,-1.5428982913253169
2,4,14,-0.22580928394875407
2,4,15,0.0
2,4,16,0.7328300154305696
2,4,17,0.3244250362117145
2,4,21,0.07157259513832886
2,4,23,0.08130527137354927
2,4,24,0.14139312203586465
2,4,26,-0.5404324456878601
2,4,27,0.4802720404023964
2,4,29,0.9077212940934712
2,4,30,0.1334667395050052
2,4,31,-0.6851814404341379
2,4,33,0.0
2,4,34,1.605696082323779
2,4,35,0.1747890691027223
2,4,36,-0.19299208703147025
2,4,37,0.6245561088244106
2,4,38,0.1822850275178983
2,4,39,1.183165943718668
2,4,40,-0.43751029670211555
2,4,41,-0.7113910186219449
2,4,42,0.1842124335738387
2,4,44,-0.09936099375980517
2,4,45,-0.43264951354637077
2,4,46,0.2997378635017292
2,4,51,0.0
2,4,56,-0.5155343392492714
2,4,58,0.9055439534755543
2,4,59,0.2391875110075775
2,4,61,0.44417527065097095
2,4,62,0.3262679529376865
2,4,64,0.3771272096306471
2,4,66,1.5906726229034773
2,4,68,3.286116001492828
2,4,69,0.03395472738994673
2,5,1,1.0185333699992785
2,5,2,-0.6550970069601542
2,5,3,-0.6897948783837061
2,5,4,0.25126813315203345
2,5,5,0.44728605832716584
2,5,6,0.6898112113227093
2,5,7,-0.13324489163890105
2,5,8,1.501516809634252
2,5,9,0.055756431419269
2,5,10,-1.9696234637568304
2,5,12,1.2962879984821254
2,5,14,2.27872971295319
2,5,18,0.12726489631050766
2,5,19,-0.21969428516265946
2,5,20,-0.18568529973463302
2,5,21,0.16711263329434595
2,5,22,0.3633762809717863
2,5,23,0.591582971859334
2,5,24,-0.054980244507091866
2,5,25,0.35734109131270425
2,5,26,-0.03055981053341117
2,5,27,0.5536909514175982
2,5,28,0.03398433172561034
2,5,29,-0.6163457322410916
2,5,30,-1.0274291800792097
2,5,32,-0.9676619950980742
2,5,33,-0.36773693132053875
2,5,34,-0.055639833596803766
2,5,36,-0.495137323037961
2,5,37,-0.30935237046119185
2,5,38,-0.22126638310933391
2,5,39,0.04481735832420451
2,5,40,0.047913152699231354
2,5,41,0.3735147198490589
2,5,42,0.37061175445539063
2,5,43,-0.3987060457763744
2,5,44,-0.5974605123379484
2,5,45,-0.5445243598507344
2,5,47,-0.22719802162196387
2,5,48,0.5575869616310036
2,5,49,-0.04764611076859397
2,5,50,0.5609520678296673
2,5,51,-0.4956828377270868
2,6,1,-1.11181159809156
2,6,2,0.8266702866830081
2,6,3,-0.1896885288994468
2,6,5,-0.02589118255135059
2,6,6,-0.22934616111917033
2,6,8,-0.6005817638513319
2,6,9,-1.0011367396986395
2,6,10,-0.33933054658789713
2,6,12,-0.3231916243425955
2,6,14,-0.31947775428311315
2,6,15,-0.023659050402420743
2,6,16,-0.8540673517468307
2,6,17,-0.6142761315545725
2,6,19,-0.07093631951914574
2,6,20,-0.14298006229025925
2,6,21,-0.42919024552256957
2,6,22,-1.4514589121950001
2,6,23,0.23691855240708495
2,6,24,0.04065252049579058
2,6,25,-0.04749530924269411
2,6,26,-0.29234552336028585
2,6,27,-0.3814989431075862
2,6,28,0.273046401349124
2,6,29,-1.0239831867513924
2,6,30,-0.3287844009122239
2,6,31,-4.021043403251667
2,6,32,0.6099231684727174
2,6,33,-0.01197697426581133
2,6,34,0.6595470138875127
2,6,36,-0.33094171259438254
2,6,37,-0.12352571445999934
2,6,38,0.6837183525131598
2,6,39,1.1243550188303721
2,6,40,0.3089181658100479
2,6,41,0.8301826870263586
2,6,42,0.01612107432789464
2,6,43,-0.10388816396174233
2,6,44,-0.3984292724720222
2,6,45,0.04527549021170461
2,6,46,1.2091798195666748
2,7,1,1.478519035047545
2,7,5,-0.04527128439519562
2,7,6,0.3086519853179134
2,7,7,-0.3629013352535425
2,7,8,-0.7142761315545725
2,7,9,0.3528512596621494
2,7,10,-0.5112091370049677
2,7,12,0.3751167291674739
2,7,13,-0.6344247740933294
2,7,14,1.6406872519561948
2,7,16,-0.09760948780649731
2,7,17,-0.1397663003383832
2,7,18,0.4557834031009544
2,7,19,0.13951039467630752
2,7,20,0.125251214864246
2,7,21,-0.2509751709865324
2,7,22,1.15629147462541
2,7,23,1.5993170891274122
2,7,24,0.21667092684971048
2,7,25,-0.44207885050957707
2,7,27,-0.2793649587538237
2,7,28,-0.08067506556990217
2,7,30,-0.17939490664331434
2,7,31,0.17497308217434818
2,7,32,-0.05898750825050533
2,7,33,0.6252267576894847
2,7,34,-2.730982419492692
2,7,35,0.4248601443525269
2,7,36,0.14148315430042122
2,7,37,-0.21927189072408176
2,7,39,0.019035505824384905
2,7,40,0.26119462030449814
2,7,41,0.5731308280972264
2,7,42,-0.04456277609770402
2,7,43,0.5837005894772545
2,7,44,0.3388307245673845
2,7,45,0.26321894117633443
2,7,46,0.6326436173539303
2,7,47,-1.552683803402318
2,7,49,0.7809836021807339
2,7,51,-0.812074176061453
2,7,52,-0.011116713432514885
2,8,1,1.1500073385982699
2,8,3,0.21466224294229672
2,8,4,0.385547494875264
2,8,5,0.10205755378799146
2,8,6,-0.07037690476931832
2,8,7,-0.24816428007923613
2,8,9,-0.1563456257422564
2,8,10,1.843855034959167
2,8,12,0.273046401349124
2,8,13,0.30843373331499774
2,8,15,-0.01188047462621635
2,8,16,1.0952450843793047
2,8,17,-0.8639500873397816
2,8,19,0.4120115624143457
2,8,20,0.30177738134789994
2,8,21,-0.19877062196304696
2,8,22,-0.34816531413412993
2,8,23,0.07693692169367661
2,8,24,0.2648427161543824
2,8,25,-0.08153900243200518
2,8,26,-1.13311775442679
2,8,27,0.06216202258487311
2,8,28,-0.1859328689638561
2,8,29,0.1786562002264391
2,8,30,2.0729466874145492
2,8,31,-0.5856228683938426
2,8,32,-0.9484809804439583
2,8,33,0.11987402986059104
2,8,34,-0.780462082995487
2,8,37,-0.031213198977664794
2,8,38,0.5897802269141078
2,8,39,0.07608616877794154
2,8,41,0.10481329838354893
2,8,42,-0.173283017412116
2,8,43,0.7262808462929973
2,8,44,0.12935669056213359
2,8,45,-1.3433121740230611
2,8,46,-0.078321946907083
2,8,47,0.17234316601958233
2,8,49,0.07043593536754038
2,8,50,0.0
2,8,52,0.0
2,9,1,-0.5301223152526047
2,9,4,-0.5219880751039964
2,9,5,0.04616306878081657
2,9,6,-0.01644488100032352
2,9,7,0.0070485001313561795
2,9,8,-1.2316870033568403
2,9,9,0.3276556816189488
2,9,10,-0.13013816891469135
2,9,11,0.9686030444721447
2,9,12,0.20235852380869984
2,9,15,-0.14972155784728872
2,9,16,1.3201441851866953
2,9,17,0.09528514823760027
2,9,18,0.41641365002587116
2,9,19,1.7928993569254925
2,9,20,-0.030989215004296595
2,9,21,-0.704530488844192
2,9,22,0.30141238814345067
2,9,24,0.03509939641324627
2,9,25,-0.6211150986374215
2,9,26,-0.1305571820639077
2,9,27,0.2825279956132798
2,9,28,-0.9655749757897137
2,9,29,0.7570873606948592
2,9,30,0.15856370781100992
2,9,32,-0.05046436820790531
2,9,33,-1.062177509415186
2,9,34,-0.26906451084793354
2,9,35,0.27135352309214616
2,9,36,0.20697134080133853
2,9,38,0.09682216424167397
2,9,40,-0.6621844569322176
2,9,41,0.819139204047372
2,9,42,-0.26802445630196714
2,9,43,-0.19461622617096638
2,9,45,-0.09414763522810299
2,9,46,1.1472475687611512
2,9,48,0.4026247635104092
2,9,49,-0.2841479931230487
2,9,50,-0.15806191101836775
2,9,51,0.9654140619129741
2,10,1,0.18156950420326975
2,10,2,0.15834596862328795
2,10,3,0.06300064113343386
2,10,4,-0.917708678057086
2,10,5,0.12823759599149812
2,10,6,0.5064991938319189
2,10,7,0.08394037951177749
2,10,8,-0.5344416775096088
2,10,11,-0.7613097289119954
2,10,12,0.06911420503690113
2,10,13,-0.019938074024514585
2,10,14,0.2295461658561071
2,10,15,0.6326439348138785
2,10,16,0.7351142552517979
2,10,17,1.013343182556231
2,10,18,0.1674392234635239
2,10,19,1.5381918663657834
2,10,22,0.48958104924071993
2,10,24,0.1845745431174421
2,10,25,-0.0013473396747280264
2,10,26,0.08252453371562497
2,10,27,-2.1097114073850487
2,10,28,0.11703206397591265
2,10,29,-0.9728568026082494
2,10,31,0.4484752238389266
2,10,32,0.45045276585362076
2,10,33,-0.9725761070776997
2,10,34,2.9959473608169214
2,10,35,-0.3708334865438901
2,10,36,-1.5013095519370718
2,10,38,0.40522348934451874
2,10,39,0.27686145411133745
2,10,40,0.8159108901066239
2,10,41,0.6610191371094313
2,10,42,0.42799248011670304
2,10,43,0.2884727186636789
2,10,44,-0.06441454253252833
2,10,45,0.41661278337223207
2,10,47,1.0349227541691928
2,10,48,-0.44456483391342644
2,10,49,0.4806727371239241
2,10,50,0.36808889011395796
2,10,52,0.2378455617165149
2,10,53,0.31482858720083845
2,10,54,1.168365396969449
2,10,55,2.665257941545914
2,10,60,0.9829670448568465
2,10,61,-0.008926735515455739
2,10,62,0.20097616593196077
2,10,63,-0.7649845512782716
2,10,64,0.2516316621646599
2,10,66,0.3559922879178836
2,10,67,1.7151478267329392
2,10,68,-0.25454456460008695
2,10,71,0.0
2,10,72,0.08728355945555817
2,10,73,-1.2261100035043984
2,10,74,0.2899303897564763
2,10,75,0.20651312593923227
2,10,76,-0.9516371611399942
2,10,77,0.17489438715949332
2,10,79,0.2129956393258679
2,10,80,-0.6031565104877501
2,10,81,1.1467820006293563
2,10,82,0.8266702866830081
2,10,83,-2.4126260419510004
2,10,84,0.07891977645130992
2,11,1,0.8610659634128588
2,11,2,1.228708806071058
2,11,3,-0.24924155283758517
2,11,4,0.14234324713817326
2,11,5,0.2433543174493886
2,11,6,-0.4245487817174195
2,11,7,0.165717401708722
2,11,8,0.44092529674757996
2,11,9,-0.7037408550708287
2,11,10,0.35649493846135516
2,11,12,-0.1675208146327382
2,11,14,-0.1550764463487007
