season,episode,scene,line,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
1,1,1,1,-0.061770072700944145,-0.0439988379061582,-0.03961872240062364,-0.05267196619109766,-0.031270783775720616,-0.057193721594510596,0.02789556338966698,0.014854999820849231,-0.07025678687762674,-0.06410144951329785
1,1,1,2,-0.059805450363421116,-0.04691110975527932,-0.045694844764458585,-0.045464450964254555,-0.03332633188027807,-0.06598269493346275,0.05162571355898532,0.020361047902082298,-0.10815726371125021,0.28293907003817015
1,1,1,3,-0.0660586694780413,-0.04741637503965569,-0.04649191385500801,-0.05628812113058123,-0.036255294531414115,-0.0689109177436323,-0.133970628957732,-0.022996204314270977,0.05200432214769717,-0.035491588920664514
1,1,1,4,0.36918084106180415,-0.01777037963462293,-0.02893232900475296,-0.032529289583848424,-0.02274671989595417,-0.03985762298577406,0.018627378295882128,0.014384491027608413,-0.05376594777901227,-0.055541272877368826
1,1,1,5,-0.06397409975530263,-0.04683274066159009,-0.04067599445236648,-0.052107012058922535,-0.03347298287502026,-0.06283407152453702,0.02586384670249106,0.01892701088467932,-0.07871942605601852,-0.07977203528779482
1,1,2,6,-0.06614985072061091,0.050801062121651155,-0.03775973449291913,-0.04300000413761121,-0.02812501747394831,-0.0537140827228819,0.05399728002430778,-0.01236199467267955,-0.042062572276010145,-0.019787327289684527
1,1,3,7,-0.05920439331054046,-0.04084873774742772,-0.03884702920388539,-0.045081785593283165,-0.028251658007510033,-0.04963651439439855,0.02398052838502978,0.017448944569026025,-0.061923604419051426,-0.052691679386185644
1,1,3,8,-0.0681983580190849,-0.04981762712290946,-0.04903134357631064,-0.0520574703922973,-0.03495169841968987,-0.07443205198059914,0.015406275242020545,0.017110498586415772,-0.08148742594118934,-0.08548610677448532
1,1,3,9,-0.059148950896575084,-0.04167002045806442,-0.03921808460093236,-0.04416602313567463,-0.027970817570123072,-0.05250249426316872,0.020378028525826097,0.014508848245885593,-0.06106949103439277,-0.05439991586007473
1,1,3,10,-0.12442108479452901,-0.11071830755442902,-0.1396463944146933,-0.2121398954146799,-0.14064117099479417,-0.2772824040239163,-2.5574066871720156,-0.6229295428508792,1.87659305870703,0.34097786745102027
1,1,3,11,-0.05300330101961139,-0.03618353408572755,-0.03395431130347363,-0.03959830865910338,-0.022464284891713072,-0.043507978361026295,0.025164801683053684,0.019370293684029854,-0.04869192271819465,-0.04625329439369561
1,1,3,12,0.6559686095712081,-0.0013273597525541901,-0.019654908901519393,-0.02125873322271155,-0.0170752452885929,-0.030986386896358957,0.019147715729081482,0.01374786947964198,-0.048153543793121416,-0.05201815726994729
1,1,3,13,-0.05853139112813024,-0.04276623145104048,-0.041001544352275106,-0.0449278744865353,-0.02969711318396035,-0.05278500738954664,0.03211118899264563,0.017210063933027188,-0.07505036135612561,0.10348011036048366
1,1,3,14,-0.06596810845263096,-0.04712190956204593,-0.04662471214109293,-0.048638526399168366,-0.032253910152715566,-0.0633567746117791,0.022012101867323594,0.017478641965223765,-0.07632280595204229,-0.07517001164503066
1,1,3,15,-0.06077119129278649,-0.04360051559773968,-0.04051966564950861,-0.046661558507118554,-0.0292944605758212,-0.05740604174154074,0.017897881903942904,0.012886838511069804,-0.062292796164147124,-0.05849481219982702
1,1,4,16,-0.059515182136676996,-0.04145354893129255,-0.03997335791226559,-0.04455319396891465,-0.02810900567202104,-0.05364564826322348,0.02307944700390441,0.01528335865445466,-0.06473866989424651,-0.0444328170174713
1,1,5,17,-0.05859337389599173,-0.04172718229431203,-0.04722695978105511,0.061506926498052394,0.011204985135752254,-0.02218858748108705,0.02081192625998434,0.01275630809305583,-0.04740388056918289,-0.04250819457988919
1,1,6,18,-0.06034704061268166,-0.04159082676525156,-0.04041560264436848,-0.04576278253831061,-0.02864237197347945,-0.05535128676386006,0.018521291761376762,0.014727879859588766,-0.06169729287644222,-0.05491719603381007
1,1,7,19,-0.05126649569535061,-0.03437261528168922,-0.03188995419265154,-0.03838436584726082,-0.02077645058324796,-0.04164114923172143,0.02265635739155592,0.013666122418402833,-0.048423058998625576,-0.04291610581566773
1,1,7,20,-0.05738300494599129,-0.04033073394562742,-0.03846489211038592,-0.042112109447845596,-0.025805484785568805,-0.053362216799237874,0.02234265649608711,0.014712331876360204,-0.06196663135706333,-0.05444338978540854
1,1,7,21,-0.05126649569535061,-0.03437261528168922,-0.031889954192651546,-0.038384365847260814,-0.02077645058324795,-0.04164114923172141,0.022656357391555804,0.013666122418403046,-0.04842305899862567,-0.04291610581566803
1,1,7,22,-0.05126649569535061,-0.03437261528168922,-0.031889954192651546,-0.038384365847260814,-0.02077645058324795,-0.04164114923172141,0.022656357391555804,0.013666122418403046,-0.04842305899862567,-0.04291610581566803
1,1,7,23,-0.05594026287048261,-0.03938418294008929,-0.036536254563892596,-0.044401935712718485,-0.02644520919583949,-0.042942290207198516,0.0034581969421150164,0.00853615438319232,-0.03993641131924016,-0.0482075559889211
1,1,7,24,-0.05126649569535061,-0.03437261528168922,-0.031889954192651546,-0.038384365847260814,-0.02077645058324795,-0.04164114923172141,0.022656357391555804,0.013666122418403046,-0.04842305899862567,-0.04291610581566803
1,1,7,25,-0.06500715948216355,-0.04933154082715444,-0.05043318342807312,-0.06381358549428277,-0.042792260679584956,-0.07835636921552086,-0.4016195030694943,-0.09128499301697138,0.2678921218826122,0.03281743538144349
1,1,7,26,-0.05747541156375344,-0.041862201624224785,-0.04083225915732117,-0.046406524492849696,-0.02716158888212376,-0.05585781030202764,0.03145875791729652,0.01854616879439871,-0.07260881786309004,-0.02217763440648054
1,1,7,27,-0.06739418229873717,-0.052639770230455275,-0.05348618100360594,-0.07394968858331986,-0.04676218943761032,-0.09723674447022594,0.5312881637295344,-0.5411189368601853,0.4013419973676438,-0.07419453289541181
1,1,7,28,-0.059225349604766664,-0.04286513195192732,-0.036658646030554735,-0.0523957489631941,-0.030821104829345435,-0.06345987473850227,0.028762583396327507,0.02461170084609363,-0.08464800402665548,-0.09561541729540138
1,1,7,29,-0.061447416374529364,-0.04307480337649561,-0.03926134989325295,-0.04875923108649298,-0.029716441693812348,-0.0513012140059154,0.029639780045429828,0.01648180364251818,-0.06778244277434158,-0.065032423448143
1,1,8,30,-0.0590807599475062,-0.042604440888799285,-0.038191549928386415,-0.04475377133209905,-0.02808872579967394,-0.05325544538215471,0.029254359196229752,0.010151399000761396,-0.06221255261617726,-0.04870341403943619
1,1,9,31,0.020410715623305153,-0.03859049409235168,-0.03853545358565326,-0.04131577424307021,-0.027324855595941805,-0.0530146266820806,0.030937115288494344,0.02099703343534257,-0.07123126763400126,-0.051929201956249935
1,1,10,32,-0.06196228843150973,-0.04318271717932992,-0.04048185823553978,-0.04728114932369256,-0.029775949757537522,-0.05453176377662865,0.028638564965535376,0.014004562448558492,-0.06446278532398916,-0.059581627481701024
1,1,10,33,-0.0787506288161876,-0.0636469741936933,-0.1092149753555222,0.5270282671111852,0.17461725673165981,0.07904680646635237,0.010843651749224107,0.005064260659754001,-0.020368395297495772,-0.0467009385283998
1,1,10,34,-0.08093740744657293,-0.06362217570393168,-0.06906797107853493,-0.090017643418194,-0.05898541652214738,-0.12003889450794238,-0.6151519332366325,-0.13761835970344388,0.4035037118988781,0.03976510781365832
1,1,10,35,-0.06232167377881429,-0.042750340335143265,-0.044423770545913684,-0.045479095385351435,-0.029297284375050373,-0.05954249870270319,0.02294473870708629,0.01756552268303384,-0.07173436399514521,-0.06727335614748257
1,1,10,36,-0.062413360061011655,-0.044268118293112044,-0.041057120465668846,-0.04692809064869909,-0.029970528032253575,-0.056557421899570984,0.02756547680423984,0.01604841845494246,-0.07014670291967384,-0.06210547452992505
1,1,10,37,-0.06424918499548818,-0.04501239400038576,-0.04555101763282173,-0.049783852226559525,-0.03286032103384378,-0.05929796810695522,0.029690869506645363,0.019952416841095073,-0.07932451493037229,-0.04847359259216048
1,1,10,38,0.6555521725064996,-0.0015291502618576987,-0.02065415403745996,-0.018606351983224374,-0.01688287178708342,-0.029926406040526512,0.020694721835185486,0.013778868698751322,-0.048275793895954947,-0.04767015361126001
1,1,10,39,-0.06545874068092696,-0.047086140424455414,-0.04719549953244087,-0.051753000088999614,-0.034352926174394734,-0.06650495546174384,-0.06645529747111836,-0.00366201002390682,-0.006177625860453186,-0.05102827759053788
1,1,10,40,-0.06024043394447056,-0.04160051787756571,-0.040384178310479406,-0.046665566750582456,-0.028729200632260667,-0.056219796420555156,0.01806699169508851,0.0148104209009263,-0.06270220879604836,-0.05912311154039978
1,1,10,41,0.06846814326626664,-0.036517425420319334,-0.03914210259583333,-0.04279309845344429,-0.02791767088308198,-0.05614889747364525,0.019977435687486316,0.011561875225115596,-0.06286267681879047,-0.054592658290810496
1,1,10,42,-0.06377768264089462,-0.04415601106302337,-0.04325686264877244,-0.04938007041416611,-0.031388633093947446,-0.05908228298721327,0.014659668260776202,0.015415108196577366,-0.06408968847105513,-0.06790482349489009
1,1,10,43,1.3687105128376842,0.038474283788841886,-0.0031235616214165215,-0.00447472147354074,-0.00914535599112271,-0.014831456508121411,0.008934053044318576,0.015330743582595893,-0.03536218838707509,-0.05217878755142527
1,1,10,44,-0.05945840226027549,-0.04226182019426086,-0.042561239110325715,-0.04839824897433136,-0.029867356703769325,-0.060309638348282006,0.15491310679938855,-0.13175989594528972,0.06422159489094209,-0.05275568295989636
1,1,10,45,-0.09037736552375149,-0.0867692068163274,-0.1235901289748852,-0.16846485197670227,-0.11199018977615129,-0.2553713044681703,3.0656302910915394,-3.3633048790724884,2.8236242596643635,0.02834045280499776
1,1,10,46,-0.06855110334133145,-0.04749760374177872,-0.04830219091760623,-0.046581383041124025,-0.03355148241330136,-0.05049907340815582,0.027213038714859826,0.0325210975282184,-0.07666920031398165,-0.09603267800757702
1,1,10,47,-0.08972116775287488,-0.0746688257041113,-0.13507012503271554,0.7160131835098772,0.23981249069551883,0.1186486102488855,0.008163106949451823,-0.0070574951052443016,-0.005104831956342564,-0.031432002273191643
1,1,10,48,-0.08114252121966856,-0.06526610539958674,-0.10809311421223061,0.44174300693218155,0.14037569442065015,0.05183380283679332,0.1562816116717417,-0.1492535933420378,0.10664829169501286,-0.05446682352887126
