season,episode,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39
2,5,4.098360655740836e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740836e-05,4.098360655740836e-05,4.098360655740836e-05,4.098360655740836e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,4.098360655740837e-05,0.3267253263624419,4.098360655740836e-05,4.098360655740836e-05,4.098360655740837e-05,4.098360655740836e-05,4.098360655740836e-05,4.098360655740837e-05,4.098360655740836e-05,4.098360655740837e-05,4.098360655740836e-05,4.098360655740836e-05,0.6717172965883765,4.098360655740836e-05,4.098360655740837e-05,4.098360655740836e-05,4.098360655740837e-05,4.098360655740836e-05,4.098360655740837e-05,4.098360655740837e-05
2,6,4.1186161449769774e-05,0.9983937397034591,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05,4.1186161449769774e-05
2,7,4.6554934823136986e-05,4.6554934823136986e-05,4.655493482313698e-05,4.655493482313698e-05,0.07321150765281684,4.6554934823136986e-05,4.6554934823136986e-05,4.655493482313698e-05,4.6554934823136986e-05,4.655493482313698e-05,4.655493482313698e-05,0.12232355603538711,4.655493482313698e-05,4.655493482313698e-05,4.6554934823136986e-05,4.655493482313698e-05,0.009464057641896765,4.655493482313698e-05,4.6554934823136986e-05,4.6554934823136986e-05,0.0968747403912154,4.6554934823136986e-05,4.655493482313698e-05,4.655493482313698e-05,4.6554934823136986e-05,4.655493482313698e-05,4.655493482313698e-05,4.6554934823136986e-05,4.655493482313698e-05,4.6554934823136986e-05,4.655493482313698e-05,4.6554934823136986e-05,0.696496715559874,4.6554934823136986e-05,4.6554934823136986e-05,4.655493482313698e-05,4.655493482313698e-05,4.655493482313698e-05,4.6554934823136986e-05,4.655493482313698e-05
2,8,3.6818851251878284e-05,0.39002334268213823,3.681885125187829e-05,3.681885125187829e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.681885125187829e-05,3.6818851251878284e-05,3.681885125187829e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.681885125187829e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.681885125187829e-05,3.681885125187829e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.681885125187829e-05,3.681885125187829e-05,3.681885125187829e-05,3.681885125187829e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.681885125187829e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.681885125187829e-05,3.6818851251878284e-05,3.681885125187829e-05,3.6818851251878284e-05,3.681885125187829e-05,0.6085775409702905,3.681885125187829e-05,3.681885125187829e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.6818851251878284e-05,3.6818851251878284e-05
2,9,3.410641200547189e-05,3.4106412005471896e-05,3.4106412005471896e-05,3.410641200547189e-05,3.4106412005471896e-05,3.410641200547189e-05,3.4106412005471896e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,3.4106412005471896e-05,3.410641200547189e-05,3.410641200547189e-05,3.4106412005471896e-05,3.4106412005471896e-05,3.4106412005471896e-05,3.410641200547189e-05,3.410641200547189e-05,3.4106412005471896e-05,3.4106412005471896e-05,0.9777861545658492,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,3.4106412005471896e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,0.0019442799156377932,0.019007628274310687,3.4106412005471896e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05,3.410641200547189e-05
2,10,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,0.9158761870044623,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05,0.08256131299553614,4.1118421052670765e-05,4.1118421052670765e-05,4.1118421052670765e-05
2,11,3.816793893131409e-05,3.816793893131409e-05,3.8167938931314096e-05,3.816793893131409e-05,3.8167938931314096e-05,3.816793893131409e-05,0.9985114503816785,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.8167938931314096e-05,3.816793893131409e-05,3.8167938931314096e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.8167938931314096e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.8167938931314096e-05,3.8167938931314096e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.8167938931314096e-05,3.816793893167089e-05,3.8167938931314096e-05,3.8167938931314096e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05,3.816793893131409e-05
2,12,4.655493482311052e-05,4.6554934823110524e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.6554934823110524e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,0.9981843575418988,4.6554934823110524e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.6554934823110524e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.6554934823110524e-05,4.655493482311052e-05,4.6554934823110524e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.655493482311052e-05,4.6554934823110524e-05
2,13,5.252100840337968e-05,5.252100840337969e-05,0.9979516806722684,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337969e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05,5.252100840337968e-05
2,14,3.6710719530126215e-05,3.671071953012622e-05,3.6710719530126215e-05,0.5224995886820941,3.6710719530126215e-05,3.671071953012622e-05,0.027117107617054634,3.6710719530126215e-05,3.6710719530126215e-05,3.6710719530126215e-05,3.6710719530126215e-05,3.671071953012622e-05,3.6710719530126215e-05,3.6710719530126215e-05,3.671071953012622e-05,3.671071953012622e-05,3.671071953012622e-05,3.671071953012622e-05,3.671071953012622e-05,3.671071953012622e-05,3.671071953012622e-05,3.671071953012622e-05,3.6710719530126215e-05,3.671071953012622e-05,0.029943411235604785,3.6710719530126215e-05,3.6710719530126215e-05,3.671071953012622e-05,3.6710719530126215e-05,3.671071953012622e-05,3.6710719530126215e-05,3.671071953012622e-05,0.4191183065621619,3.6710719530126215e-05,3.671071953012622e-05,3.6710719530126215e-05,3.6710719530126215e-05,3.6710719530126215e-05,3.671071953012622e-05,3.6710719530126215e-05
