term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
100k,-2.306859885278946e-06,-1.9106000399755357e-06,-2.0593416668439994e-06,-2.223482127555019e-06,-1.5673461710093848e-06,-3.0512925187471954e-06,2.859252063329071e-06,1.2376749960407507e-06,-5.783475795957749e-06,1.4464282697569925e-05
101,-1.0631102945863265e-05,-7.851346854617282e-06,-3.5745405717122392e-06,-9.516422005871471e-06,-5.404080174489513e-06,-1.1112969139644798e-05,5.406738554512527e-06,3.6732040863686796e-06,-1.3936367732296436e-05,-1.3362081179718096e-05
1012,-6.855646467859741e-07,-5.476171062376208e-07,-6.73847569000572e-07,3.039546216485378e-07,-8.152166177329698e-08,-6.317085904133946e-07,-3.855451626863944e-07,4.083337614874823e-08,-4.6580494628668153e-07,6.190560096718232e-07
102,-3.815982217692037e-06,-2.9505208928699434e-06,-3.1418645190475068e-06,-3.835250407140531e-06,-2.4366210920372893e-06,-4.260204154121567e-06,2.8258976152538073e-06,1.8908491862987583e-06,-6.691718367471805e-06,6.407761504161952e-07
103,-6.922198051629262e-07,-5.166047412774432e-07,-5.474334455574359e-07,-6.611239392360263e-07,-4.0534149501491416e-07,-8.157346611523644e-07,4.513318423539164e-07,2.8102599747057107e-07,-1.132195356058768e-06,-8.214283807236701e-07
105,-4.4541614273504095e-06,-3.572915939815168e-06,-3.5557061085386878e-06,-4.727847480940872e-06,-3.222445884326025e-06,-6.0160034495456465e-06,4.747489165006532e-06,3.459242217790789e-06,-8.465083790269824e-06,-5.160080151380704e-06
107,-1.3353283526826057e-06,-1.0140891852643001e-06,-1.0715351448443098e-06,-1.2915213084849067e-06,-8.227395098358517e-07,-1.573734116096402e-06,6.418992929539196e-07,5.357915181248067e-07,-1.9706529271586633e-06,-1.4564604774088576e-06
107th,-4.254641092665539e-06,-3.1635254252802354e-06,-3.375316543293859e-06,-3.994723904663586e-06,-2.5628886839185655e-06,-4.78812020685171e-06,2.9337679542468802e-06,1.835542730443719e-06,-6.872561049063414e-06,-5.8419939103947735e-06
109,1.0843464905137852e-06,-5.515760393098033e-07,-6.442193972196389e-07,-7.766948287401375e-07,-4.831664769204693e-07,-9.34047654759228e-07,5.248095112238106e-07,3.375529170460104e-07,-1.2975773169060497e-06,-1.2698530940255959e-06
10am,-1.3386804649055998e-06,-1.0276973661837694e-06,-1.1105130097498182e-06,-1.4251476053131296e-06,-8.872517002039255e-07,-1.7129541575542914e-06,-2.7640819001869058e-06,-3.181767692668862e-07,7.254875056960736e-07,-1.260480086122327e-06
