season,episode,scene,line,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1,1,26,125,mother,1,1.9061270257855965,NN,0,1,0,0,1,1,0,1,0
1,1,26,128,promise,1,0.4094204588522563,VBP,0,0,0,0,1,0,0,1,1
1,1,26,133,agreement,1,0.7978603866908223,NN,0,0,0,0,0,0,0,1,1
1,1,26,136,mess,1,0.1598266217715946,NN,0,0,1,0,0,0,0,0,-1
1,1,27,137,favorite,1,0.2592035089084604,JJ,0,0,0,0,1,0,0,1,1
1,1,29,139,watch,1,0.4793756437120835,VB,0,1,0,1,0,0,0,0,0
1,1,29,146,suspension,1,0.9032371357950163,NN,0,0,0,1,0,0,0,0,-1
1,1,30,147,damn,1,2.887010588727885,NN,1,0,1,0,0,0,0,0,-1
1,1,30,148,problem,1,0.5178451644432156,NN,0,0,0,1,0,1,0,0,-1
1,1,30,150,laughing,1,2.7543849393543316,VBG,0,0,0,0,1,0,0,0,1
1,1,30,151,professional,1,0.5006158631997392,JJ,0,0,0,0,0,0,0,1,1
1,1,30,151,real,1,0.35734109131270425,JJ,0,0,0,0,0,0,0,1,1
1,1,31,152,volunteer,1,0.26751400325925734,NN,0,1,0,1,1,0,0,1,1
1,1,32,155,food,1,0.18412186294631352,NN,0,0,0,0,1,0,0,1,1
1,1,32,155,hate,1,0.1878623139416679,VBP,1,0,1,1,0,1,0,0,-1
1,1,32,155,kind,1,0.1543259926589567,NN,0,0,0,0,1,0,0,1,1
1,1,32,155,waste,1,0.2249331125164259,NN,0,0,1,0,0,0,0,0,-1
1,1,32,156,reprimand,1,0.7826571122006634,VB,1,0,0,0,0,0,0,0,-1
1,1,32,158,discipline,1,1.08859418414625,NN,0,0,0,1,0,0,0,0,-1
1,1,32,159,deal,1,0.2369444658221959,NN,0,1,0,0,1,0,1,1,1
1,1,32,159,discipline,1,0.3732322917072858,NN,0,0,0,1,0,0,0,0,-1
1,1,32,163,kind,1,0.3549497831156004,NN,0,0,0,0,1,0,0,1,1
1,1,32,163,laughing,1,0.4131577409031498,VBG,0,0,0,0,1,0,0,0,1
1,1,32,166,concerned,1,0.5403296750359805,JJ,0,0,0,1,0,1,0,0,0
1,1,32,166,damage,1,0.5850248871948309,NN,1,0,1,0,0,1,0,0,-1
1,1,33,176,baby,1,2.4984819001552268,NN,0,0,0,0,1,0,0,0,1
1,1,34,178,engaged,1,0.3263096009564238,VBN,0,1,0,0,1,0,0,1,1
1,1,35,182,fun,1,0.18251573808704147,NN,0,1,0,0,1,0,0,0,1
1,1,35,182,good,1,0.12287088060710581,JJ,0,1,0,0,1,0,1,1,1
1,1,35,183,good,1,0.44680320220765746,JJ,0,1,0,0,1,0,1,1,1
1,1,37,189,experiment,1,0.17032721321912114,NN,0,1,0,0,0,0,1,0,0
