season,episode,scene,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1,1,1,0.0,0.17552982943872256,0.0,0.0,0.17552982943872256,0.0,0.17552982943872256,0.5834852744920345,0.5834852744920345
1,1,2,0.0,0.018511286392359053,0.0,0.0,0.018511286392359053,0.02156480304951709,0.018511286392359053,0.06352446451523083,0.04195966146571374
1,1,3,0.0,0.0,0.0,0.0,0.18935677954766553,0.0,0.0,0.25856361485781887,0.44792039440548437
1,1,4,0.03613909073282595,0.04618310910093716,0.0,0.05710175040953573,0.11075084912170288,0.03613909073282595,0.034866178410479495,0.07588467071122339,0.11075084912170288
1,1,6,0.0,0.19961414296732424,0.0,0.0,0.19961414296732424,0.0,0.0,0.19961414296732424,0.19961414296732424
1,1,7,0.0,0.0,0.0,0.0,0.7953363114517387,0.0,0.0,0.0,0.7953363114517387
1,1,10,0.016455073963357155,0.14366123759489852,0.07291952755488881,0.4075970639827745,0.23038563882797752,0.295601128627443,0.19016405709567036,0.28350512807753264,-0.1240835201843625
1,1,11,0.37512350109581705,0.19950812826576675,0.621460901767185,0.8209690300329517,0.1124360837205343,0.40898546698188304,0.07557602176528251,0.1124360837205343,-0.6716728843571658
1,1,15,0.8283123161874766,0.0,0.8283123161874766,0.0,0.0,0.0,0.0,0.5912877210388947,-0.23702459514858187
1,1,16,0.10615335396902943,0.11968939307289594,0.10615335396902943,0.10615335396902943,0.0,0.10615335396902943,0.0,0.08872177764670407,0.10225781675057057
1,1,17,2.905639404592255,0.13144170875976482,0.0,0.13144170875976482,0.0,2.905639404592255,0.0,0.0,-2.905639404592255
1,1,18,0.0,0.09273274008083457,0.0,0.0,0.09273274008083457,0.0,0.09273274008083457,0.09273274008083457,0.09273274008083457
1,1,19,0.36286472804875003,0.37634880658125675,0.0,0.36286472804875003,0.37634880658125675,0.62911703118626,0.36286472804875003,0.13756868658366928,-0.49154834460259067
1,1,20,0.0,0.0,0.0,0.2672749235835951,0.0,0.2672749235835951,0.0,0.0,-0.2672749235835951
1,1,21,0.12744396481938028,0.13854439089795967,0.07211814389037496,0.0,0.08321856996895434,0.07211814389037496,0.025598100126480377,0.2825799922008161,0.21046184831044112
1,1,22,0.0,0.2673839245489916,0.0,0.0,0.2673839245489916,0.0,0.0,0.2673839245489916,0.2673839245489916
1,1,23,0.047564665635972614,0.12345143551031015,0.0,0.030919923023146938,0.12345143551031015,0.0,0.04306548644559977,0.12345143551031015,0.07588676987433754
1,1,24,0.3726955509446763,0.0,0.0,0.3726955509446763,0.1183165943718668,0.0,0.0,0.1183165943718668,-0.05596892002987269
1,1,25,0.0,0.0,0.0,0.0,0.0,0.46013825139246495,0.0,0.0,-0.46013825139246495
1,1,26,0.0,0.27230386082651376,0.022832374538799226,0.34771558324775753,0.7753061388450001,0.6200194440742713,0.0,0.8892861940865462,0.2464343754734756
1,1,27,0.0,0.0,0.0,0.0,0.2592035089084604,0.0,0.0,0.2592035089084604,0.2592035089084604
1,1,29,0.0,0.23968782185604176,0.0,0.6913063897535499,0.0,0.0,0.0,0.0,-0.45161856789750815
1,1,30,0.577402117745577,0.0,0.577402117745577,0.10356903288864312,0.5508769878708664,0.10356903288864312,0.0,0.1715913909024887,0.04149722813913489
1,1,31,0.0,0.26751400325925734,0.0,0.26751400325925734,0.26751400325925734,0.0,0.0,0.26751400325925734,0.26751400325925734
1,1,32,0.12962869277809685,0.01974537215184966,0.08315169280441038,0.18250153873593203,0.11195832045385135,0.10943473968103995,0.01974537215184966,0.0775285087119222,-0.15823367135507563
1,1,33,0.0,0.0,0.0,0.0,2.4984819001552268,0.0,0.0,0.0,2.4984819001552268
1,1,34,0.0,0.3263096009564238,0.0,0.0,0.3263096009564238,0.0,0.0,0.3263096009564238,0.3263096009564238
1,1,35,0.0,0.2507299403006016,0.0,0.0,0.2507299403006016,0.0,0.18989136093825443,0.18989136093825443,0.2507299403006016
1,1,37,0.35880542094594076,0.02611740673347185,0.32315102581669636,0.3128296722971574,0.06030019233192012,0.1486689954173811,0.153862985464814,0.046982729378739846,-0.40610531324666665
1,1,38,0.03927015391018586,0.05578348996295206,0.0,0.019561526176483775,0.05578348996295206,0.019708627733702088,0.01811098189323414,0.03475056855179483,0.051263904604561025
1,1,39,0.0,1.9584752768136902,0.0,0.0,1.9584752768136902,0.0,1.78721280883063,1.9584752768136902,1.9584752768136902
1,1,40,0.29964333353370143,0.0,0.0,0.13209985839821528,0.0,0.13209985839821528,0.0,0.03941918140259298,-0.26022415213110844
1,1,43,0.0,0.46248769256333155,0.0,0.052918090539645586,0.409569602023686,0.0,0.409569602023686,0.409569602023686,0.409569602023686
1,1,44,0.016326226398557856,0.022308682121336503,0.016326226398557856,0.04228133728365897,0.04498411486910071,0.016326226398557856,0.0,0.04432532518770572,0.01820904283202991
1,1,45,0.046570374754154056,0.05908515843878435,0.02282785602271655,0.03161320554089876,0.014957169213255295,0.03161320554089876,0.014957169213255295,0.03353607645591618,-0.032513717610152724
